Timestamp,FlowSrc,FlowDst,Throughput,Delay,Jitter,Tx_Packets,Rx_Packets,Lost_packets
2021-05-29 12:37,192.168.1.8/49157,192.168.1.5/1005,6.10657,0.147,0.07,12739,12739,0
2021-05-29 12:37,192.168.1.8/49156,192.168.1.4/1005,6.12478,0.148,0.071,12777,12777,0
2021-05-29 12:37,192.168.1.8/49159,192.168.1.7/1005,6.10369,0.148,0.071,12733,12733,0
2021-05-29 12:37,192.168.1.8/49155,192.168.1.3/1005,6.10657,0.148,0.071,12739,12739,0
2021-05-29 12:37,192.168.1.8/49153,192.168.1.1/1005,6.11855,0.148,0.07,12764,12764,0
2021-05-29 12:37,192.168.1.8/49154,192.168.1.2/1005,6.11663,0.148,0.07,12761,12760,0
2021-05-29 12:37,192.168.1.8/49158,192.168.1.6/1005,6.1104,0.147,0.07,12747,12747,0
