Timestamp,FlowSrc,FlowDst,Throughput,Delay,Jitter,Tx_Packets,Rx_Packets,Lost_packets
2021-05-29 17:36,192.168.1.18/49161,192.168.1.9/1005,6.12287,1.784,1.863,12774,12773,0
2021-05-29 17:36,192.168.1.18/49153,192.168.1.1/1005,6.11951,1.795,1.862,12767,12766,0
2021-05-29 17:36,192.168.1.18/49165,192.168.1.13/1005,6.11088,1.789,1.859,12750,12748,0
2021-05-29 17:36,192.168.1.18/49156,192.168.1.4/1005,6.10753,1.796,1.869,12741,12741,0
2021-05-29 17:36,192.168.1.18/49154,192.168.1.2/1005,6.11136,1.79,1.863,12749,12749,0
2021-05-29 17:36,192.168.1.18/49159,192.168.1.7/1005,6.11328,1.791,1.861,12753,12753,0
2021-05-29 17:36,192.168.1.18/49158,192.168.1.6/1005,6.11855,1.795,1.863,12765,12764,0
2021-05-29 17:36,192.168.1.18/49164,192.168.1.12/1005,6.11376,1.783,1.861,12754,12754,0
2021-05-29 17:36,192.168.1.18/49168,192.168.1.16/1005,6.09842,1.793,1.862,12722,12722,0
2021-05-29 17:36,192.168.1.18/49160,192.168.1.8/1005,6.12622,1.792,1.864,12781,12780,0
2021-05-29 17:36,192.168.1.18/49155,192.168.1.3/1005,6.12622,1.791,1.863,12781,12780,0
2021-05-29 17:36,192.168.1.18/49169,192.168.1.17/1005,6.11232,1.792,1.866,12753,12751,0
2021-05-29 17:36,192.168.1.18/49163,192.168.1.11/1005,6.11376,1.796,1.865,12756,12754,0
2021-05-29 17:36,192.168.1.18/49157,192.168.1.5/1005,6.12239,1.793,1.861,12772,12772,0
2021-05-29 17:36,192.168.1.18/49166,192.168.1.14/1005,6.10705,1.796,1.856,12741,12740,0
2021-05-29 17:36,192.168.1.18/49162,192.168.1.10/1005,6.12574,1.794,1.862,12781,12779,0
2021-05-29 17:36,192.168.1.18/49167,192.168.1.15/1005,6.12814,1.79,1.856,12784,12784,0
