Timestamp,FlowSrc,FlowDst,Throughput,Delay,Jitter,Tx_Packets,Rx_Packets,Lost_packets
2021-05-29 11:28,192.168.1.12/49153,192.168.1.1/1005,6.12574,1.565,1.249,12780,12779,0
2021-05-29 11:28,192.168.1.12/49161,192.168.1.9/1005,6.10753,1.561,1.244,12741,12741,0
2021-05-29 11:28,192.168.1.12/49163,192.168.1.11/1005,6.1128,1.559,1.238,12753,12752,0
2021-05-29 11:28,192.168.1.12/49154,192.168.1.2/1005,6.11615,1.564,1.246,12759,12759,0
2021-05-29 11:28,192.168.1.12/49160,192.168.1.8/1005,6.12047,1.558,1.252,12769,12768,0
2021-05-29 11:28,192.168.1.12/49156,192.168.1.4/1005,6.10705,1.567,1.252,12742,12740,0
2021-05-29 11:28,192.168.1.12/49158,192.168.1.6/1005,6.11999,1.567,1.245,12767,12767,0
2021-05-29 11:28,192.168.1.12/49157,192.168.1.5/1005,6.10273,1.568,1.237,12731,12731,0
2021-05-29 11:28,192.168.1.12/49159,192.168.1.7/1005,6.11136,1.564,1.246,12750,12749,0
2021-05-29 11:28,192.168.1.12/49155,192.168.1.3/1005,6.11903,1.561,1.245,12765,12765,0
2021-05-29 11:28,192.168.1.12/49162,192.168.1.10/1005,6.1104,1.558,1.256,12748,12747,0
