Timestamp,FlowSrc,FlowDst,Throughput,Delay,Jitter,Tx_Packets,Rx_Packets,Lost_packets
2021-05-29 13:12,192.168.1.6/49161,192.168.1.10/1000,45.8767,181.147,0.506,425047,95704,328735
2021-05-29 13:12,192.168.1.6/49159,192.168.1.8/1000,45.8843,181.172,0.506,425273,95720,328998
2021-05-29 13:12,192.168.1.6/49158,192.168.1.7/1000,45.8848,181.188,0.506,425139,95721,328863
2021-05-29 13:12,192.168.1.6/49160,192.168.1.9/1000,45.9002,181.262,0.507,425031,95753,328735
2021-05-29 13:12,192.168.1.6/49155,192.168.1.3/1005,6.1152,20.151,3.678,12769,12757,0
2021-05-29 13:12,192.168.1.6/49156,192.168.1.4/1005,6.11615,20.093,3.682,12762,12759,0
2021-05-29 13:12,192.168.1.6/49154,192.168.1.2/1005,6.10848,20.033,3.68,12756,12743,0
2021-05-29 13:12,192.168.1.6/49153,192.168.1.1/1005,6.10369,20.408,3.685,12741,12733,0
2021-05-29 13:12,192.168.1.6/49157,192.168.1.5/1005,6.11999,20.242,3.676,12770,12767,0
