Timestamp,FlowSrc,FlowDst,Throughput,Delay,Jitter,Tx_Packets,Rx_Packets,Lost_packets
2021-05-29 18:03,192.168.1.12/49162,192.168.1.10/1005,6.13725,0.128,0.087,12803,12803,0
2021-05-29 18:03,192.168.1.12/49154,192.168.1.2/1005,6.11184,0.13,0.087,12750,12750,0
2021-05-29 18:03,192.168.1.12/49159,192.168.1.7/1005,6.11232,0.136,0.09,12751,12751,0
2021-05-29 18:03,192.168.1.12/49160,192.168.1.8/1005,6.10417,0.145,0.1,12734,12734,0
2021-05-29 18:03,192.168.1.12/49156,192.168.1.4/1005,6.1243,0.13,0.088,12776,12776,0
2021-05-29 18:03,192.168.1.12/49155,192.168.1.3/1005,6.11472,0.129,0.087,12756,12756,0
2021-05-29 18:03,192.168.1.12/49158,192.168.1.6/1005,6.11328,0.135,0.09,12753,12753,0
2021-05-29 18:03,192.168.1.12/49153,192.168.1.1/1005,6.12239,0.128,0.087,12772,12772,0
2021-05-29 18:03,192.168.1.12/49157,192.168.1.5/1005,6.13149,0.144,0.1,12791,12791,0
2021-05-29 18:03,192.168.1.12/49161,192.168.1.9/1005,6.12526,0.13,0.089,12778,12778,0
2021-05-29 18:03,192.168.1.12/49163,192.168.1.11/1005,6.12047,0.13,0.088,12768,12768,0
