Timestamp,FlowSrc,FlowDst,Throughput,Delay,Jitter,Tx_Packets,Rx_Packets,Lost_packets
2021-05-29 18:22,192.168.1.19/49156,192.168.1.4/1005,6.11376,1.38,0.314,12755,12754,0
2021-05-29 18:22,192.168.1.19/49160,192.168.1.8/1005,6.11472,1.38,0.316,12757,12756,0
2021-05-29 18:22,192.168.1.19/49166,192.168.1.14/1005,6.12191,1.378,0.321,12772,12771,0
2021-05-29 18:22,192.168.1.19/49154,192.168.1.2/1005,6.10321,1.381,0.314,12733,12732,0
2021-05-29 18:22,192.168.1.19/49157,192.168.1.5/1005,6.10705,1.378,0.314,12741,12740,0
2021-05-29 18:22,192.168.1.19/49155,192.168.1.3/1005,6.1104,1.378,0.32,12748,12747,0
2021-05-29 18:22,192.168.1.19/49167,192.168.1.15/1005,6.11472,1.375,0.322,12756,12756,0
2021-05-29 18:22,192.168.1.19/49161,192.168.1.9/1005,6.10657,1.383,0.315,12740,12739,0
2021-05-29 18:22,192.168.1.19/49159,192.168.1.7/1005,6.11807,1.38,0.312,12764,12763,0
2021-05-29 18:22,192.168.1.19/49158,192.168.1.6/1005,6.11088,1.376,0.322,12749,12748,0
2021-05-29 18:22,192.168.1.19/49164,192.168.1.12/1005,6.11999,1.384,0.312,12768,12767,0
2021-05-29 18:22,192.168.1.19/49163,192.168.1.11/1005,6.10944,1.385,0.313,12746,12745,0
2021-05-29 18:22,192.168.1.19/49162,192.168.1.10/1005,6.12718,1.379,0.319,12782,12782,0
2021-05-29 18:22,192.168.1.19/49169,192.168.1.17/1005,6.11232,1.378,0.312,12752,12751,0
2021-05-29 18:22,192.168.1.19/49165,192.168.1.13/1005,6.11663,1.38,0.317,12761,12760,0
2021-05-29 18:22,192.168.1.19/49153,192.168.1.1/1005,6.12526,1.377,0.318,12778,12778,0
2021-05-29 18:22,192.168.1.19/49170,192.168.1.18/1005,6.12526,1.376,0.327,12778,12778,0
2021-05-29 18:22,192.168.1.19/49168,192.168.1.16/1005,6.12287,1.376,0.32,12774,12773,0
