Timestamp,FlowSrc,FlowDst,Throughput,Delay,Jitter,Tx_Packets,Rx_Packets,Lost_packets
2021-05-29 20:58,192.168.1.8/49157,192.168.1.5/1005,25.4435,2.044,0.674,53140,53078,86
2021-05-29 20:58,192.168.1.8/49156,192.168.1.4/1005,25.4406,2.159,0.674,53140,53072,93
2021-05-29 20:58,192.168.1.8/49159,192.168.1.7/1005,25.4439,2.136,0.674,53145,53079,90
2021-05-29 20:58,192.168.1.8/49155,192.168.1.3/1005,25.4555,1.987,0.674,53160,53103,81
2021-05-29 20:58,192.168.1.8/49153,192.168.1.1/1005,25.4689,1.84,0.674,53185,53131,73
2021-05-29 20:58,192.168.1.8/49154,192.168.1.2/1005,25.4607,2.107,0.674,53177,53114,90
2021-05-29 20:58,192.168.1.8/49158,192.168.1.6/1005,25.4401,2.01,0.673,53135,53071,89
