Timestamp,FlowSrc,FlowDst,Throughput,Delay,Jitter,Tx_Packets,Rx_Packets,Lost_packets
2021-05-30 00:47,192.168.1.21/49173,192.168.1.22/1000,163.886,86.256,0.141,425157,341886,84923
2021-05-30 00:47,192.168.1.21/49175,192.168.1.24/1000,163.897,86.115,0.141,425279,341908,85031
2021-05-30 00:47,192.168.1.21/49176,192.168.1.25/1000,163.872,86.123,0.141,425257,341856,85071
2021-05-30 00:47,192.168.1.21/49174,192.168.1.23/1000,163.888,86.174,0.142,425136,341890,84913
2021-05-30 00:47,192.168.1.21/49156,192.168.1.4/1005,-,-,-,-,-,-
2021-05-30 00:47,192.168.1.21/49160,192.168.1.8/1005,-,-,-,-,-,-
2021-05-30 00:47,192.168.1.21/49166,192.168.1.14/1005,-,-,-,-,-,-
2021-05-30 00:47,192.168.1.21/49154,192.168.1.2/1005,-,-,-,-,-,-
2021-05-30 00:47,192.168.1.21/49157,192.168.1.5/1005,-,-,-,-,-,-
2021-05-30 00:47,192.168.1.21/49155,192.168.1.3/1005,-,-,-,-,-,-
2021-05-30 00:47,192.168.1.21/49167,192.168.1.15/1005,-,-,-,-,-,-
2021-05-30 00:47,192.168.1.21/49172,192.168.1.20/1005,-,-,-,-,-,-
2021-05-30 00:47,192.168.1.21/49161,192.168.1.9/1005,-,-,-,-,-,-
2021-05-30 00:47,192.168.1.21/49159,192.168.1.7/1005,-,-,-,-,-,-
2021-05-30 00:47,192.168.1.21/49158,192.168.1.6/1005,-,-,-,-,-,-
2021-05-30 00:47,192.168.1.21/49164,192.168.1.12/1005,-,-,-,-,-,-
2021-05-30 00:47,192.168.1.21/49163,192.168.1.11/1005,-,-,-,-,-,-
2021-05-30 00:47,192.168.1.21/49162,192.168.1.10/1005,-,-,-,-,-,-
2021-05-30 00:47,192.168.1.21/49169,192.168.1.17/1005,-,-,-,-,-,-
2021-05-30 00:47,192.168.1.21/49165,192.168.1.13/1005,-,-,-,-,-,-
2021-05-30 00:47,192.168.1.21/49153,192.168.1.1/1005,-,-,-,-,-,-
2021-05-30 00:47,192.168.1.21/49170,192.168.1.18/1005,-,-,-,-,-,-
2021-05-30 00:47,192.168.1.21/49168,192.168.1.16/1005,-,-,-,-,-,-
2021-05-30 00:47,192.168.1.21/49171,192.168.1.19/1005,-,-,-,-,-,-
