Timestamp,FlowSrc,FlowDst,Throughput,Delay,Jitter,Tx_Packets,Rx_Packets,Lost_packets
2021-05-29 20:17,192.168.1.4/49156,192.168.1.5/1000,88.7808,111.791,0.263,425203,185207,239568
2021-05-29 20:17,192.168.1.4/49161,192.168.1.10/1000,88.7847,111.814,0.263,425047,185215,239376
2021-05-29 20:17,192.168.1.4/49159,192.168.1.8/1000,88.7866,110.908,0.261,425273,185219,239639
2021-05-29 20:17,192.168.1.4/49158,192.168.1.7/1000,88.7837,111.87,0.263,425139,185213,239504
2021-05-29 20:17,192.168.1.4/49160,192.168.1.9/1000,88.7736,111.671,0.262,425031,185192,239312
2021-05-29 20:17,192.168.1.4/49157,192.168.1.6/1000,88.7808,111.651,0.26,425126,185207,239504
2021-05-29 20:17,192.168.1.4/49155,192.168.1.3/1005,6.12095,0.628,0.577,12769,12769,0
2021-05-29 20:17,192.168.1.4/49154,192.168.1.2/1005,6.11472,0.628,0.58,12756,12756,0
2021-05-29 20:17,192.168.1.4/49153,192.168.1.1/1005,6.10753,0.622,0.574,12741,12741,0
